type,adname,location,name,address
风景名胜;风景名胜;寺庙道观,郫都区,"103.822968,30.926994",万世师表,\u7ff0\u6797\u5df7\u4e0e\u897f\u5317\u8def\u4ea4\u53c9\u53e3\u4e1c\u5357150\u7c73
风景名胜;风景名胜;风景名胜,青羊区,"104.056204,30.657190",人民公园-银杏阁,\u5305\u5bb6\u5df7\u4e0e\u5c0f\u5357\u8857\u4ea4\u53c9\u53e3\u4e1c150\u7c73
风景名胜;风景名胜;风景名胜,青羊区,"104.042785,30.662173",文化公园-唐王殿,\u4e00\u73af\u8def\u897f\u4e8c\u6bb59\u53f7\u9752\u7f8a\u5bab\u5185
风景名胜;风景名胜相关;旅游景点,郫都区,"103.824155,30.925323",杨靖中故居,\u5c0f\u5317\u8857\u4e0e\u897f\u8857\u4ea4\u53c9\u53e3\u4e1c\u5357100\u7c73
风景名胜;风景名胜相关;旅游景点,青羊区,"104.042629,30.662007",文化公园-玉皇殿,\u4e00\u73af\u8def\u897f\u4e8c\u6bb59\u53f7\u9752\u7f8a\u5bab\u5185
风景名胜;风景名胜;风景名胜,青羊区,"104.059485,30.656496",人民公园-四川美术协会故址,\u4e1c\u57ce\u6839\u5357\u8857\u4e0e\u7960\u5802\u8857\u4ea4\u53c9\u53e3\u897f150\u7c73
风景名胜;风景名胜相关;旅游景点,彭州市,"103.859328,31.322297",祖师殿,\u9752\u57ce\u5c71\u666f\u533a\u5185
风景名胜;风景名胜;风景名胜,彭州市,"103.767442,31.028573",古盘龙会纪念碑,\u4e30\u4e50\u5357\u8857\u4e0e\u5b98\u4ead\u8857\u4ea4\u53c9\u53e3\u4e1c\u531750\u7c73
风景名胜;风景名胜;风景名胜,新津县,"103.770100,30.356891",慵也谷,\u6c38\u5546\u9547\u5b9d\u6865\u6751
科教文化服务;科教文化场所;科教文化场所,都江堰市,"103.663845,30.972645",长征书院,\u53cb\u7231\u8def\u4e0e\u6c38\u4e30\u8def\u4ea4\u53c9\u53e3\u4e1c100\u7c73
