type,adname,location,name,address
风景名胜;风景名胜;风景名胜,青白江区,"104.279245,30.867165",静寺堂,同济大道与大夫东路交叉口西南150米
风景名胜;风景名胜;风景名胜,双流区,"104.145010,30.548510",小桥庙山,中庙路与新三路交叉口东北100米
科教文化服务;科教文化场所;科教文化场所,青白江区,"104.245907,30.876827",攀钢集团成都钢钒有限公司秀山书画院,团结北路28号附1号
科教文化服务;展览馆;展览馆,龙泉驿区,"104.330144,30.634634",巢艺术中心,凤仪街
体育休闲服务;休闲场所;休闲场所,龙泉驿区,"104.296840,30.549462",邹家桃园,318国道西50米
购物服务;专卖店;儿童用品店,成华区,"104.112012,30.668734",各个悟(SM购物广场),二环路东二段29号SM购物广场F3层
风景名胜;风景名胜;风景名胜,锦江区,"104.082378,30.645994",成都东门城墙遗址,青莲上街38号对面
风景名胜;风景名胜;风景名胜,蒲江县,"103.511760,30.161850",樱桃山旅游景区-天真亭,望明路与花样年花径交叉口西150米
风景名胜;风景名胜;纪念馆,郫都区,"103.797049,30.841955",杨雄纪念馆,郫都区
生活服务;生活服务场所;生活服务场所,青羊区,"104.074738,30.673362",寿衣骨灰盒灵堂,五岳宫街与酱园公所路交叉口东50米
风景名胜;风景名胜;风景名胜,崇州市,"103.528538,30.789779",玉皇观,观音沟路附近
风景名胜;风景名胜;风景名胜,崇州市,"103.600654,30.766593",双河遗址,街安路
科教文化服务;展览馆;展览馆,锦江区,"104.116123,30.585766",锦江精品城区展示中心,锦江大道与锦逸路交叉口东南100米
风景名胜;风景名胜;风景名胜,金牛区,"104.118372,30.774816",金华寺西路,金华寺东路17号附近
风景名胜;风景名胜;风景名胜,青羊区,"104.072587,30.675425",文殊院-佛,文殊院街66号文殊院内
